Date,Year,Season,Slough,Site,Habitat,Method,Species,ID,Length (mm),Wet mass (g),Sex,Stomach Kept,Comments,Entered By,Checked By,Processed,-80 Freezer,Freeze Drier,Dried,Crushed,Isotope,Decarb
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG105,23.08,0.18,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG106,24.38,0.244,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG107,21.86,0.163,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG108,27.48,0.327,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG109,24.4,0.264,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG110,21.71,0.161,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG111,21.79,0.168,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG112,17.4,0.072,3,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG113,23.61,0.217,2,N,eggs not kept,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG114,19.15,0.99,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG115,18.04,0.075,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG116,23.12,0.192,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG117,19.85,0.127,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG118,26.04,0.304,2,N,eggs not kept,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG119,20.97,0.133,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG120,21.11,0.149,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG121,22.8,0.209,2,N,"eggs, not kept",SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG122,19.88,0.093,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG123,21.34,0.14,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG124,23.14,0.21,2,N,"eggs, not kept",SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG125,19.43,0.109,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG126,20.44,0.124,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG127,21.66,0.17,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG128,22.89,0.176,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG129,18.5,0.097,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,LUCGOO,LG130,23.66,0.205,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,LUCGOO,LG131,18.86,0.125,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,LUCGOO,LG132,18.94,0.115,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,LUCGOO,LG133,23.41,0.223,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,LUCGOO,LG134,22.96,0.215,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,LUCGOO,LG135,20.26,0.164,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,LUCGOO,LG136,17.48,0.102,3,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
