Date,Year,Slough,Site,Habitat,Species,ID,Freezer?,Tube Weight,Total Mass,Comments,Processed,-80 Freezer,Freeze Drier,Dried,Crushed,Isotope,Decarb,Entered By,Checked By
12/11/2018,2018,TSL,AH3,MARSH,UTRFOL,P122,Y,10.269,-,,Y,Y,Y,Y,Y,N,N,SS,
11/15/2018,2018,SRS,CATPONDB,NEAR POND,UTRPUR,P123,Y,10.189,-,,Y,Y,Y,Y,Y,N,N,SS,
11/15/2018,2018,SRS,CATPONDB,NEAR POND,UTRFOL,P124,Y,10.152,-,,Y,Y,Y,Y,Y,N,N,SS,
12/10/2018,2018,TSL,AH5,POND,UTRFOL,P125,Y,5.202,19.396,,Y,Y,Y,Y,Y,N,N,SS,
12/10/2018,2018,TSL,AH5,MARSH,UTRFOL,P126,Y,5.197,19.575,,Y,Y,Y,Y,Y,N,N,SS,
12/7/2018,2018,TSL,AH2,MARSH,UTRFOL,P127,Y,10.266,-,,Y,Y,Y,Y,Y,N,N,SS,
12/7/2018,2018,TSL,AH2,NEAR POND,UTRFOL,P128,Y,10.265,-,,Y,Y,Y,Y,Y,N,N,SS,
12/13/2018,2018,TSL,AHWG16,MARSH,UTRFOL,P129,Y,10.329,-,,Y,Y,Y,Y,Y,N,N,SS,
12/13/2018,2018,SRS,AHWG16,MARSH,BACCAR,P13,N,6.753,11.372,,Y,Y,Y,Y,Y,N,N,SS,VG
12/13/2018,2018,TSL,AHWG16,POND,UTRFOL,P130,Y,10.411,-,,Y,Y,Y,Y,Y,N,N,SS,
12/13/2018,2018,TSL,AHWG16,MARSH,UTRPUR,P131,Y,10.149,-,,Y,Y,Y,Y,Y,N,N,SS,
12/13/2018,2018,TSL,AHWG16,POND,UTRPUR,P132,Y,10.053,-,,Y,Y,Y,Y,Y,N,N,SS,
10/26/2018,2018,SRS,LJB,POND,UTRPUR,P133,Y,10.393,-,,Y,Y,Y,Y,Y,N,N,SS,
10/26/2018,2018,SRS,LJB,NEAR POND,UTRPUR,P134,Y,10.174,-,,Y,Y,Y,Y,Y,N,N,SS,
10/26/2018,2018,SRS,LJB,NEAR POND,UTRFOL,P135,Y,10.413,-,,Y,Y,Y,Y,Y,N,N,SS,
12/12/2018,2018,TSL,AHMBD,POND,UTRFOL,P136,Y,10.192,-,,Y,Y,Y,Y,Y,N,N,SS,
12/12/2018,2018,TSL,AHMBD,MARSH,UTRPUR,P137,Y,10.221,-,,Y,Y,Y,Y,Y,N,N,SS,
12/12/2018,2018,TSL,AHMBD,MARSH,UTRFOL,P138,Y,10.204,-,,Y,Y,Y,Y,Y,N,N,SS,
11/19/2018,2018,SRS,AH13,MARSH,UTRPUR,P139,Y,10.235,-,,Y,Y,Y,Y,Y,N,N,SS,
12/13/2018,2018,SRS,AHWG16,MARSH,ELEELO,P14,N,6.567,8.131,,Y,Y,Y,Y,Y,N,N,SS,VG
11/19/2018,2018,SRS,AH13,MARSH,UTRFOL,P140,Y,5.134,16.947,,Y,Y,Y,Y,Y,N,N,SS,
11/19/2018,2018,SRS,AH13,POND,UTRFOL,P141,Y,5.151,20.222,,Y,Y,Y,Y,Y,N,N,SS,
11/19/2018,2018,SRS,AH13,MARSH,PASGEM,P142,Y,5.207,8.013,,Y,Y,Y,Y,Y,N,N,SS,
3/15/2019,2019,SRS,AH13,MARSH,ELECEL,P143,N,,,,Y,Y,Y,Y,Y,N,N,SS,
3/15/2019,2019,SRS,CATPONDB,MARSH,ELECEL,P144,Y,,,,Y,Y,Y,Y,Y,N,N,SS,
3/15/2019,2019,SRS,AHWG16,MARSH,ELECEL,P145,N,,,,Y,Y,Y,Y,Y,N,N,SS,
4/29/2019,2019,TSL,AH9,MARSH,ELECEL,P146,Y,,,,Y,Y,Y,Y,Y,N,N,SS,
4/29/2019,2019,TSL,AH2,MARSH,ELECEL,P147,Y,,,,Y,Y,Y,Y,Y,N,N,SS,
4/26/2019,2019,TSL,AH3,MARSH,ELECEL,P148,Y,,,,Y,Y,Y,Y,Y,N,N,SS,
4/29/2019,2019,TSL,AH2,MARSH,UTRFOL,P149,Y,,,,Y,Y,Y,Y,Y,N,N,SS,
12/13/2018,2018,SRS,AHWG16,MARSH,NYMAQU,P15,Y,6.688,17.801,,Y,Y,Y,Y,Y,N,N,SS,VG
3/15/2019,2019,SRS,AH13,MARSH,UTRFOL,P150,Y,,,,Y,Y,Y,Y,Y,N,N,SS,
4/26/2019,2019,TSL,AHMDB,MARSH,UTRFOL,P151,Y,,,,Y,Y,Y,Y,Y,N,N,SS,
3/15/2019,2019,SRS,CATB,MARSH,UTRFOL,P152,Y,,,,Y,Y,Y,Y,Y,N,N,SS,
4/26/2019,2019,TSL,AH3,MARSH,UTRFOL,P153,Y,,,,Y,Y,Y,Y,Y,N,N,SS,
3/18/2019,2019,SRS,LJB,MARSH,UTRFOL,P154,Y,,,,Y,Y,Y,Y,Y,N,N,SS,
4/26/2019,2019,TSL,AHMDB,NEAR POND,PONCOR,P155,Y,,,,Y,Y,Y,Y,Y,N,N,SS,
4/29/2019,2019,TSL,AH9,NEAR POND,PONCOR,P156,Y,,,,Y,Y,Y,Y,Y,N,N,SS,
4/29/2019,2019,TSL,AH5,NEAR POND,PONCOR,P157,Y,,,,Y,Y,Y,Y,Y,N,N,SS,
3/15/2019,2019,SRS,AH WG16,NEAR POND,PONCOR,P158,Y,,,,Y,Y,Y,Y,Y,N,N,SS,
3/15/2019,2019,SRS,AH WG16,POND,PONCOR,P159,Y,,,,Y,Y,Y,Y,Y,N,N,SS,
12/13/2018,2018,SRS,AHWG16,MARSH,RYNTRA,P16,Y,6.354,10.171,,Y,Y,Y,Y,Y,N,N,SS,VG
3/15/2019,2019,SRS,AH13,POND,PONCOR,P160,Y,,,,Y,Y,Y,Y,Y,N,N,SS,
3/13/2019,2019,SRS,AH11,NEAR POND,SAGLAN,P161,N,,,,Y,Y,Y,Y,Y,N,N,SS,
3/18/2019,2019,SRS,LJB,NEAR POND,SAGLAN,P162,Y,,,,Y,Y,Y,Y,Y,N,N,SS,
